timestamp,datetime,h,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),Pavg,iid,dif
2010-11-28 00:00:00,2010-11-28,0,0,0,12.8,0.0,12.8,0.0,710.8937000000001,23,-710.8937000000001
2010-11-28 01:00:00,2010-11-28,1,0,0,12.5,0.0,12.5,0.0,689.3132833333333,23,-689.3132833333333
2010-11-28 02:00:00,2010-11-28,2,0,0,12.2,0.0,12.2,0.0,666.0870666666667,23,-666.0870666666667
2010-11-28 03:00:00,2010-11-28,3,0,0,11.9,0.0,11.9,0.0,675.7888833333332,23,-675.7888833333332
2010-11-28 04:00:00,2010-11-28,4,0,0,11.6,0.0,11.6,0.0,493.8188166666667,23,-493.8188166666667
2010-11-28 05:00:00,2010-11-28,5,0,0,11.3,0.0,11.3,0.0,217.57535964912284,23,-217.57535964912284
2010-11-28 06:00:00,2010-11-28,6,0,0,11.0,0.0,11.0,0.0,285.42909,23,-285.42909
2010-11-28 07:00:00,2010-11-28,7,211,16,11.3,0.0,11.3,0.0,276.3768383333333,23,-276.3768383333333
2010-11-28 08:00:00,2010-11-28,8,188,84,12.3,161.542,18.553,507.434,379.361965,23,128.07203500000003
2010-11-28 09:00:00,2010-11-28,9,439,100,13.8,335.413,27.575,1143.817,856.2134833333334,23,287.60351666666656
2010-11-28 10:00:00,2010-11-28,10,600,91,15.6,508.785,36.506,1691.404,956.01045,23,735.39355
2010-11-28 11:00:00,2010-11-28,11,559,114,17.4,574.209,40.944,1862.458,1727.284333333333,23,135.17366666666703
2010-11-28 12:00:00,2010-11-28,12,500,130,19.0,576.697,42.617,1849.321,1334.24505,23,515.0759499999999
2010-11-28 13:00:00,2010-11-28,13,276,166,20.1,412.529,36.975,1340.819,1033.2732666666666,23,307.5457333333334
2010-11-28 14:00:00,2010-11-28,14,326,120,20.4,391.341,36.436,1281.693,792.4202166666669,23,489.2727833333331
2010-11-28 15:00:00,2010-11-28,15,167,85,19.8,200.683,28.034,670.661,777.6177833333334,23,-106.95678333333342
2010-11-28 16:00:00,2010-11-28,16,106,20,18.6,74.928,21.672,246.737,821.2132999999998,23,-574.4762999999998
2010-11-28 17:00:00,2010-11-28,17,0,0,17.3,0.0,0.0,0.0,1025.4596333333332,23,-1025.4596333333332
2010-11-28 18:00:00,2010-11-28,18,0,0,16.2,0.0,16.2,0.0,1104.75895,23,-1104.75895
2010-11-28 19:00:00,2010-11-28,19,0,0,15.3,0.0,15.3,0.0,1520.740666666667,23,-1520.740666666667
2010-11-28 20:00:00,2010-11-28,20,0,0,14.5,0.0,14.5,0.0,1198.42845,23,-1198.42845
2010-11-28 21:00:00,2010-11-28,21,0,0,13.9,0.0,13.9,0.0,943.0323166666666,23,-943.0323166666666
2010-11-28 22:00:00,2010-11-28,22,0,0,13.4,0.0,13.4,0.0,837.199183333333,23,-837.199183333333
2010-11-28 23:00:00,2010-11-28,23,0,0,13.0,0.0,13.0,0.0,948.3558333333332,23,-948.3558333333332
2010-11-29 00:00:00,2010-11-29,0,0,0,12.6,0.0,12.6,0.0,922.2253666666668,23,-922.2253666666668
2010-11-29 01:00:00,2010-11-29,1,0,0,12.2,0.0,12.2,0.0,822.2698666666666,23,-822.2698666666666
2010-11-29 02:00:00,2010-11-29,2,0,0,11.8,0.0,11.8,0.0,837.0987666666666,23,-837.0987666666666
2010-11-29 03:00:00,2010-11-29,3,0,0,11.4,0.0,11.4,0.0,839.0772166666668,23,-839.0772166666668
2010-11-29 04:00:00,2010-11-29,4,0,0,11.0,0.0,11.0,0.0,856.7765999999999,23,-856.7765999999999
2010-11-29 05:00:00,2010-11-29,5,0,0,10.6,0.0,10.6,0.0,843.2491754385965,23,-843.2491754385965
2010-11-29 06:00:00,2010-11-29,6,0,0,10.3,0.0,10.3,0.0,853.3310833333331,23,-853.3310833333331
2010-11-29 07:00:00,2010-11-29,7,176,19,10.5,0.0,10.5,0.0,885.8711666666666,23,-885.8711666666666
2010-11-29 08:00:00,2010-11-29,8,276,83,11.4,185.555,18.79,576.551,1505.5634666666665,23,-929.0124666666665
2010-11-29 09:00:00,2010-11-29,9,434,110,12.8,342.979,26.882,1172.298,1050.4628833333334,23,121.83511666666664
2010-11-29 10:00:00,2010-11-29,10,559,110,14.5,501.896,35.117,1675.804,1003.8692833333332,23,671.9347166666669
2010-11-29 11:00:00,2010-11-29,11,628,103,16.2,613.333,41.356,1989.502,732.0123666666669,23,1257.4896333333331
2010-11-29 12:00:00,2010-11-29,12,628,103,17.7,650.122,44.34,2076.777,952.2498166666668,23,1124.5271833333331
2010-11-29 13:00:00,2010-11-29,13,559,110,18.7,599.141,43.247,1920.398,853.4568500000001,23,1066.9411499999997
2010-11-29 14:00:00,2010-11-29,14,434,110,19.0,467.292,38.159,1528.274,877.7364999999998,23,650.5375000000001
2010-11-29 15:00:00,2010-11-29,15,276,83,18.5,276.218,29.843,928.416,940.4455333333334,23,-12.029533333333347
2010-11-29 16:00:00,2010-11-29,16,176,19,17.4,108.793,21.861,363.806,1008.2612,23,-644.4552000000001
2010-11-29 17:00:00,2010-11-29,17,0,0,16.1,0.0,0.0,0.0,1000.9641666666666,23,-1000.9641666666666
2010-11-29 18:00:00,2010-11-29,18,0,0,15.1,0.0,15.1,0.0,1244.4489661016946,23,-1244.4489661016946
2010-11-29 19:00:00,2010-11-29,19,0,0,14.2,0.0,14.2,0.0,1251.4383833333336,23,-1251.4383833333336
2010-11-29 20:00:00,2010-11-29,20,0,0,13.5,0.0,13.5,0.0,1453.1534333333334,23,-1453.1534333333334
2010-11-29 21:00:00,2010-11-29,21,0,0,13.0,0.0,13.0,0.0,1315.761166666667,23,-1315.761166666667
2010-11-29 22:00:00,2010-11-29,22,0,0,12.5,0.0,12.5,0.0,1380.219833333333,23,-1380.219833333333
2010-11-29 23:00:00,2010-11-29,23,0,0,12.1,0.0,12.1,0.0,1309.0408333333337,23,-1309.0408333333337
2010-11-30 00:00:00,2010-11-30,0,0,0,11.8,0.0,11.8,0.0,1154.2847833333333,23,-1154.2847833333333
2010-11-30 01:00:00,2010-11-30,1,0,0,11.5,0.0,11.5,0.0,942.8848333333334,23,-942.8848333333334
2010-11-30 02:00:00,2010-11-30,2,0,0,11.2,0.0,11.2,0.0,934.02885,23,-934.02885
2010-11-30 03:00:00,2010-11-30,3,0,0,10.9,0.0,10.9,0.0,979.8048333333334,23,-979.8048333333334
2010-11-30 04:00:00,2010-11-30,4,0,0,10.7,0.0,10.7,0.0,987.7007,23,-987.7007
2010-11-30 05:00:00,2010-11-30,5,0,0,10.4,0.0,10.4,0.0,992.3818103448276,23,-992.3818103448276
2010-11-30 06:00:00,2010-11-30,6,0,0,10.1,0.0,10.1,0.0,987.0217666666668,23,-987.0217666666668
2010-11-30 07:00:00,2010-11-30,7,199,16,10.4,0.0,10.4,0.0,1006.4959333333334,23,-1006.4959333333334
2010-11-30 08:00:00,2010-11-30,8,231,80,11.3,168.905,18.026,524.568,1149.7758166666667,23,-625.2078166666668
2010-11-30 09:00:00,2010-11-30,9,391,109,12.7,320.148,25.841,1095.903,859.6353666666666,23,236.26763333333335
2010-11-30 10:00:00,2010-11-30,10,448,129,14.3,445.404,32.588,1496.808,931.9758166666666,23,564.8321833333334
2010-11-30 11:00:00,2010-11-30,11,586,107,16.1,584.63,40.077,1905.0,1387.7480833333332,23,517.2519166666668
2010-11-30 12:00:00,2010-11-30,12,459,142,17.5,548.576,39.963,1776.665,1171.4043500000002,23,605.2606499999997
2010-11-30 13:00:00,2010-11-30,13,550,104,18.5,584.041,42.431,1878.444,1103.7949833333332,23,774.6490166666667
2010-11-30 14:00:00,2010-11-30,14,308,124,18.8,381.932,34.449,1259.937,911.2564666666666,23,348.6805333333333
2010-11-30 15:00:00,2010-11-30,15,141,86,18.3,185.344,25.903,622.45,932.6516,23,-310.2016
2010-11-30 16:00:00,2010-11-30,16,199,16,17.2,115.333,21.93,386.625,911.7346166666666,23,-525.1096166666666
2010-11-30 17:00:00,2010-11-30,17,0,0,15.9,0.0,0.0,0.0,1072.40175,23,-1072.40175
2010-11-30 18:00:00,2010-11-30,18,0,0,14.9,0.0,14.9,0.0,1038.27525,23,-1038.27525
2010-11-30 19:00:00,2010-11-30,19,0,0,14.0,0.0,14.0,0.0,1139.31895,23,-1139.31895
2010-11-30 20:00:00,2010-11-30,20,0,0,13.4,0.0,13.4,0.0,1310.1224666666667,23,-1310.1224666666667
2010-11-30 21:00:00,2010-11-30,21,0,0,12.8,0.0,12.8,0.0,1946.12915,23,-1946.12915
2010-11-30 22:00:00,2010-11-30,22,0,0,12.3,0.0,12.3,0.0,1682.6039000000003,23,-1682.6039000000003
2010-11-30 23:00:00,2010-11-30,23,0,0,11.9,0.0,11.9,0.0,1074.1515833333333,23,-1074.1515833333333
2010-12-01 00:00:00,2010-12-01,0,0,0,12.1,0.0,12.1,0.0,922.5092,23,-922.5092
2010-12-01 01:00:00,2010-12-01,1,0,0,12.3,0.0,12.3,0.0,815.1283500000001,23,-815.1283500000001
2010-12-01 02:00:00,2010-12-01,2,0,0,12.5,0.0,12.5,0.0,841.8068000000001,23,-841.8068000000001
2010-12-01 03:00:00,2010-12-01,3,0,0,12.7,0.0,12.7,0.0,830.0794000000001,23,-830.0794000000001
2010-12-01 04:00:00,2010-12-01,4,0,0,12.9,0.0,12.9,0.0,855.7742833333334,23,-855.7742833333334
2010-12-01 05:00:00,2010-12-01,5,0,0,13.1,0.0,13.1,0.0,870.6442542372881,23,-870.6442542372881
2010-12-01 06:00:00,2010-12-01,6,0,0,13.3,0.0,13.3,0.0,846.0483166666666,23,-846.0483166666666
2010-12-01 07:00:00,2010-12-01,7,71,16,13.5,0.0,13.5,0.0,882.0881666666666,23,-882.0881666666666
2010-12-01 08:00:00,2010-12-01,8,149,78,14.2,144.027,16.414,450.785,1100.6440166666666,23,-649.8590166666665
2010-12-01 09:00:00,2010-12-01,9,483,86,15.4,338.15,21.553,1179.844,866.0671333333335,23,313.7768666666666
2010-12-01 10:00:00,2010-12-01,10,379,137,16.9,408.774,22.82,1423.008,936.4085,23,486.5995
2010-12-01 11:00:00,2010-12-01,11,393,150,18.5,479.277,26.481,1638.16,840.9207666666666,23,797.2392333333335
2010-12-01 12:00:00,2010-12-01,12,244,181,19.9,403.273,26.994,1361.663,843.8932833333332,23,517.7697166666668
2010-12-01 13:00:00,2010-12-01,13,354,142,20.7,460.506,27.272,1562.781,980.25595,23,582.52505
2010-12-01 14:00:00,2010-12-01,14,450,92,20.9,457.783,27.525,1563.23,888.2653333333334,23,674.9646666666666
2010-12-01 15:00:00,2010-12-01,15,189,77,20.3,214.162,23.517,731.314,912.3447666666664,23,-181.0307666666664
