Pavg,iid,datetime,h
2524.4841499999998,25,2013-04-06,0.0
300.69261666666665,25,2013-04-06,1.0
232.38346666666666,25,2013-04-06,2.0
220.1269166666667,25,2013-04-06,3.0
217.0041,25,2013-04-06,4.0
216.3109333333333,25,2013-04-06,5.0
213.1791333333334,25,2013-04-06,6.0
1191.3074833333335,25,2013-04-06,7.0
5251.0160000000005,25,2013-04-06,8.0
2671.174883333333,25,2013-04-06,9.0
2093.68845,25,2013-04-06,10.0
125.016895,25,2013-04-06,11.0
97.03503,25,2013-04-06,12.0
118.77544166666668,25,2013-04-06,13.0
101.38632833333334,25,2013-04-06,14.0
98.82228666666667,25,2013-04-06,15.0
96.62314499999998,25,2013-04-06,16.0
125.53597000000003,25,2013-04-06,17.0
98.2521,25,2013-04-06,18.0
131.32161166666666,25,2013-04-06,19.0
196.60950000000003,25,2013-04-06,20.0
200.6845833333333,25,2013-04-06,21.0
221.45285,25,2013-04-06,22.0
196.46828333333326,25,2013-04-06,23.0
1343.8822833333331,25,2013-04-07,0.0
212.1997833333334,25,2013-04-07,1.0
107.65782499999999,25,2013-04-07,2.0
123.993055,25,2013-04-07,3.0
120.65903999999999,25,2013-04-07,4.0
109.13884000000002,25,2013-04-07,5.0
107.32334833333333,25,2013-04-07,6.0
107.93188666666667,25,2013-04-07,7.0
110.20245833333335,25,2013-04-07,8.0
112.26112333333334,25,2013-04-07,9.0
903.1651316666666,25,2013-04-07,10.0
546.1628000000001,25,2013-04-07,11.0
1330.1449233333333,25,2013-04-07,12.0
2161.634383333333,25,2013-04-07,13.0
2225.37455,25,2013-04-07,14.0
1456.3644166666666,25,2013-04-07,15.0
444.04813333333334,25,2013-04-07,16.0
628.4384216666665,25,2013-04-07,17.0
255.94018166666672,25,2013-04-07,18.0
101.587925,25,2013-04-07,19.0
129.397765,25,2013-04-07,20.0
117.75507166666667,25,2013-04-07,21.0
257.566865,25,2013-04-07,22.0
174.08090000000004,25,2013-04-07,23.0
112.91759833333332,25,2013-04-08,0.0
122.88203999999999,25,2013-04-08,1.0
127.37595666666667,25,2013-04-08,2.0
107.20601166666667,25,2013-04-08,3.0
106.73958166666667,25,2013-04-08,4.0
106.58731666666668,25,2013-04-08,5.0
107.73317166666668,25,2013-04-08,6.0
127.93225333333332,25,2013-04-08,7.0
521.4978266666667,25,2013-04-08,8.0
100.70411833333334,25,2013-04-08,9.0
99.258035,25,2013-04-08,10.0
99.00193833333331,25,2013-04-08,11.0
99.970485,25,2013-04-08,12.0
122.01745333333332,25,2013-04-08,13.0
1027.7131,25,2013-04-08,14.0
110.18880999999998,25,2013-04-08,15.0
386.1951183333333,25,2013-04-08,16.0
778.3365333333334,25,2013-04-08,17.0
185.70367833333333,25,2013-04-08,18.0
95.2386,25,2013-04-08,19.0
103.76508500000001,25,2013-04-08,20.0
476.7062183333334,25,2013-04-08,21.0
170.60976666666664,25,2013-04-08,22.0
133.25556333333333,25,2013-04-08,23.0
116.88985333333335,25,2013-04-09,0.0
132.63901,25,2013-04-09,1.0
75.15513076923077,25,2013-04-09,2.0
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
,25,2013-04-09,
