Pavg,iid,tmstp
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
0.0,42,2013-07-31
47.3643,42,2013-07-31
212.447485,42,2013-07-31
494.95176666666663,42,2013-07-31
667.0428000000003,42,2013-07-31
848.9255666666666,42,2013-07-31
628.022,42,2013-07-31
547.1076833333334,42,2013-07-31
524.6486,42,2013-07-31
337.44885000000005,42,2013-08-01
254.1686416666667,42,2013-08-01
318.21188333333333,42,2013-08-01
230.96499333333335,42,2013-08-01
345.7597016666667,42,2013-08-01
319.4777666666667,42,2013-08-01
340.0068666666666,42,2013-08-01
229.91813166666665,42,2013-08-01
317.19781666666665,42,2013-08-01
484.9485966666667,42,2013-08-01
995.9587833333335,42,2013-08-01
657.10945,42,2013-08-01
929.9155,42,2013-08-01
632.25785,42,2013-08-01
391.09263333333337,42,2013-08-01
311.2911,42,2013-08-01
527.7177166666667,42,2013-08-01
325.6779,42,2013-08-01
1035.8775166666667,42,2013-08-01
813.51645,42,2013-08-01
1327.4280666666666,42,2013-08-01
1393.7265166666666,42,2013-08-01
552.5785333333333,42,2013-08-01
497.8149,42,2013-08-01
343.5932833333333,42,2013-08-02
344.1703833333333,42,2013-08-02
355.46445000000006,42,2013-08-02
274.0175366666666,42,2013-08-02
265.38778333333335,42,2013-08-02
216.60326666666666,42,2013-08-02
275.0088333333333,42,2013-08-02
257.16505,42,2013-08-02
220.0742383333333,42,2013-08-02
838.8448166666665,42,2013-08-02
1880.5263,42,2013-08-02
755.3707833333333,42,2013-08-02
490.44984999999997,42,2013-08-02
385.9724833333333,42,2013-08-02
371.97425,42,2013-08-02
355.9515666666666,42,2013-08-02
321.8540166666667,42,2013-08-02
271.41253333333333,42,2013-08-02
251.22651666666667,42,2013-08-02
285.2191833333333,42,2013-08-02
308.03953333333334,42,2013-08-02
257.6725,42,2013-08-02
347.1825833333333,42,2013-08-02
360.55835,42,2013-08-02
260.8881,42,2013-08-03
253.4475833333333,42,2013-08-03
294.91296666666665,42,2013-08-03
