datetime,overflow,cap,load,dist,origen_id,dest_id,origen_tag,len_origen_tag,dest_tag,len_dest_tag,modelo,criterion,degree,total_balance,abs_flux
2011-02-19 15:00:00,0,40.0,0.2005346666666667,200,21,13,91.71.3.1.30.44,6,91.71.3.1.30,5,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-1.0149551666666663,655,17,10,91.4.32.10.35.45,6,91.4.32.10.35,5,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.13147613333333333,264,20,13,91.71.3.1.30.48,6,91.71.3.1.30,5,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-0.4033494000000001,551,23,10,91.71.3.1.28.60,6,91.71.3.1.28,5,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,0.21005283050847465,343,16,10,91.4.32.10.35.61,6,91.4.32.10.35,5,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,0.2080941533333333,468,1,10,91.4.32.10.35.72,6,91.4.32.10.35,5,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-0.4033494000000001,906,23,22,91.4.32.10.34.73,6,91.4.32.10.34,5,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.2909474716666667,374,9,10,91.71.3.1.28.94,6,91.71.3.1.28,5,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-0.06434765000000005,406,14,18,91.4.0.2.8,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-0.06434765000000005,656,14,18,91.4.0.2.20,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-0.31591264999999996,241,8,21,91.71.3.13.21,5,91.71.3.13,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.9751081355932204,449,15,4,91.71.3.1.22,5,91.71.3.1,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.38393469166666666,372,7,18,91.4.0.2.23,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.28856312881355933,416,13,4,91.71.3.1.24,5,91.71.3.1,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,0.16587527586206893,127,6,15,91.4.32.10.26,5,91.4.32.10,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.35760293040539,374,13,4,91.71.3.1.30,5,91.71.3.1,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.15201173094767156,363,22,15,91.4.32.10.34,5,91.4.32.10,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-0.25990898563614767,721,10,15,91.4.32.10.35,5,91.4.32.10,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.06434765000000005,18,14,18,91.4.0.2.36,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-0.4033494000000001,336,23,5,91.4.0.12.40,5,91.4.0.12,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-0.09762346428571414,89,11,18,91.4.0.2.43,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-0.23860306666666667,214,19,18,91.4.0.2.47,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-1.8320475593220344,718,12,10,91.71.27.31.49,5,91.71.27.31,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.13147613333333333,859,20,11,91.4.14.16.52,5,91.4.14.16,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.06434765000000005,153,14,15,91.4.32.10.54,5,91.4.32.10,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,0.2909474716666667,472,9,18,91.4.0.2.55,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-2.0188884067796606,383,5,20,91.4.17.58.56,5,91.4.17.58,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,0.21005283050847465,518,16,18,91.4.0.2.57,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,0.3490342166666667,187,4,9,91.4.17.39.63,5,91.4.17.39,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,0.2005346666666667,772,21,6,91.71.27.7.64,5,91.71.27.7,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.30024433333333334,810,18,18,91.4.0.2.65,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-0.06434765000000005,911,14,11,91.4.14.16.66,5,91.4.14.16,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,0.2005346666666667,278,21,5,91.4.0.12.69,5,91.4.0.12,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.31591264999999996,565,8,8,91.4.0.19.70,5,91.4.0.19,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-2.0188884067796606,454,5,15,91.4.32.10.81,5,91.4.32.10,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-0.23860306666666667,543,19,9,91.4.17.39.82,5,91.4.17.39,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.2080941533333333,121,1,10,91.71.27.31.84,5,91.71.27.31,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-0.9751081355932204,918,15,19,91.4.0.5.85,5,91.4.0.5,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,0.3379201327586207,256,10,21,91.71.3.13.86,5,91.71.3.13,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.4033494000000001,341,23,14,91.71.27.67.90,5,91.71.27.67,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.13147613333333333,429,20,14,91.71.27.67.93,5,91.71.27.67,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-1.0149551666666663,570,17,11,91.4.0.37.96,5,91.4.0.37,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-0.06434765000000005,791,14,23,91.4.0.25.97,5,91.4.0.25,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-0.4033494000000001,487,23,18,91.4.0.2.99,5,91.4.0.2,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.22542471272391018,640,10,4,91.71.3.1.28,5,91.71.3.1,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,-0.31591264999999996,570,8,4,91.71.3.1.53,5,91.71.3.1,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-0.23860306666666667,482,19,4,91.71.3.1.77,5,91.71.3.1,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,21.2,0.32305731833333334,190,2,6,91.71.3.76.74,5,91.71.3.76,4,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,0.5520751164193836,832,18,23,91.4.0.2,4,91.4.0,3,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-1.214163487183334,1024,19,23,91.4.0.5,4,91.4.0,3,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.3663938560832561,371,6,1,91.71.27.7,4,91.71.27,3,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,-0.09762346428571414,560,11,23,91.4.0.11,4,91.4.0,3,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,74.0,-2.2217721421495997,865,5,23,91.4.0.12,4,91.4.0,3,barabasi,4,4,-13.4388018912568,73.91525364454013
2011-02-19 15:00:00,0,40.0,0.30024433333333334,723,18,23,91.4.0.15,4,91.4.0,3,barabasi,4,4,-13.4388018912568,73.91525364454013
